HomeTeam,AwayTeam,FTR,
Sunderland,Aston Villa,A,
Swansea,Chelsea,D,
Tottenham,Wigan,A,
West Ham,Man City,D,
Liverpool,Newcastle,D,
QPR,Reading,D,
West Brom,Southampton,H,
Arsenal,Fulham,D,
Aston Villa,Man United,A,
Everton,Sunderland,H,
Reading,Norwich,D,
Southampton,Swansea,D,
Stoke,QPR,H,
Wigan,West Brom,A,
Chelsea,Liverpool,D,
Man City,Tottenham,H,
Newcastle,West Ham,A,
Arsenal,Tottenham,H,
Liverpool,Wigan,H,
Man City,Aston Villa,H,
Newcastle,Swansea,A,
Norwich,Man United,H,
QPR,Southampton,A,
Reading,Everton,H,
West Brom,Chelsea,H,
Fulham,Sunderland,A,
West Ham,Stoke,D,
Aston Villa,Arsenal,D,
Everton,Norwich,D,
Man United,QPR,H,
Stoke,Fulham,H,
Sunderland,West Brom,A,
Wigan,Reading,H,
Chelsea,Man City,D,
Southampton,Newcastle,H,
Swansea,Liverpool,D,
Tottenham,West Ham,H,
Aston Villa,Reading,H,
Sunderland,QPR,D,
Chelsea,Fulham,D,
Everton,Arsenal,D,
Man United,West Ham,H,
Southampton,Norwich,D,
Stoke,Newcastle,H,
Swansea,West Brom,H,
Tottenham,Liverpool,H,
Wigan,Man City,A,
Arsenal,Swansea,A,
Fulham,Tottenham,A,
Liverpool,Southampton,H,
Man City,Everton,D,
QPR,Aston Villa,D,
Reading,Man United,A,
West Brom,Stoke,A,
West Ham,Chelsea,H,
Norwich,Sunderland,H,
Newcastle,Wigan,H,
Arsenal,West Brom,H,
Aston Villa,Stoke,D,
Southampton,Reading,H,
Sunderland,Chelsea,A,
Swansea,Norwich,A,
Wigan,QPR,D,
Everton,Tottenham,H,
Man City,Man United,A,
West Ham,Liverpool,A,
Fulham,Newcastle,H,
Sunderland,Reading,H,
Liverpool,Aston Villa,A,
Man United,Sunderland,H,
Newcastle,Man City,A,
Norwich,Wigan,H,
QPR,Fulham,H,
Stoke,Everton,D,
Tottenham,Swansea,H,
West Brom,West Ham,D,
Reading,Arsenal,A,
Liverpool,Fulham,H,
Man City,Reading,H,
Newcastle,QPR,H,
Southampton,Sunderland,A,
Tottenham,Stoke,D,
West Brom,Norwich,H,
West Ham,Everton,A,
Wigan,Arsenal,A,
Chelsea,Aston Villa,H,
Swansea,Man United,D,
Aston Villa,Tottenham,A,
Everton,Wigan,H,
Fulham,Southampton,D,
Man United,Newcastle,H,
Norwich,Chelsea,A,
QPR,West Brom,A,
Reading,Swansea,D,
Stoke,Liverpool,H,
Sunderland,Man City,H,
Arsenal,Newcastle,H,
Aston Villa,Wigan,A,
Fulham,Swansea,A,
Man United,West Brom,H,
Norwich,Man City,A,
Reading,West Ham,H,
Stoke,Southampton,D,
Sunderland,Tottenham,A,
Everton,Chelsea,A,
QPR,Liverpool,A,
Man City,Stoke,H,
Southampton,Arsenal,D,
Swansea,Aston Villa,D,
Tottenham,Reading,H,
West Brom,Fulham,A,
West Ham,Norwich,H,
Wigan,Man United,A,
Chelsea,QPR,A,
Liverpool,Sunderland,H,
Newcastle,Everton,A,
Aston Villa,Southampton,A,
Everton,Swansea,D,
Fulham,Wigan,D,
Norwich,Newcastle,D,
QPR,Tottenham,D,
Reading,West Brom,H,
Stoke,Chelsea,A,
Sunderland,West Ham,H,
Arsenal,Man City,A,
Man United,Liverpool,H,
Chelsea,Southampton,D,
Liverpool,Norwich,H,
Man City,Fulham,H,
Newcastle,Reading,A,
Swansea,Stoke,H,
West Brom,Aston Villa,D,
West Ham,QPR,D,
Wigan,Sunderland,A,
Chelsea,Arsenal,H,
Tottenham,Man United,D,
Southampton,Everton,D,
Arsenal,West Ham,H,
Aston Villa,Newcastle,A,
QPR,Man City,D,
Stoke,Wigan,D,
Sunderland,Swansea,D,
Arsenal,Liverpool,D,
Everton,West Brom,H,
Fulham,West Ham,H,
Man United,Southampton,H,
Norwich,Tottenham,D,
Reading,Chelsea,D,
Arsenal,Stoke,H,
Everton,Aston Villa,D,
Fulham,Man United,A,
Newcastle,Chelsea,H,
QPR,Norwich,D,
Reading,Sunderland,H,
West Ham,Swansea,H,
Wigan,Southampton,D,
Man City,Liverpool,D,
West Brom,Tottenham,A,
Chelsea,Wigan,H,
Norwich,Fulham,D,
Southampton,Man City,H,
Stoke,Reading,H,
Sunderland,Arsenal,A,
Swansea,QPR,H,
Tottenham,Newcastle,H,
Aston Villa,West Ham,H,
Man United,Everton,H,
Liverpool,West Brom,A,
Liverpool,Swansea,H,
Arsenal,Aston Villa,H,
Fulham,Stoke,H,
Norwich,Everton,H,
QPR,Man United,A,
Reading,Wigan,A,
West Brom,Sunderland,H,
Man City,Chelsea,H,
Newcastle,Southampton,H,
West Ham,Tottenham,A,
Chelsea,West Brom,H,
Everton,Reading,H,
Man United,Norwich,H,
Southampton,QPR,A,
Stoke,West Ham,A,
Sunderland,Fulham,D,
Swansea,Newcastle,H,
Wigan,Liverpool,A,
Tottenham,Arsenal,H,
Aston Villa,Man City,A,
Norwich,Southampton,D,
QPR,Sunderland,H,
Reading,Aston Villa,A,
West Brom,Swansea,H,
Liverpool,Tottenham,H,
Newcastle,Stoke,H,
Aston Villa,QPR,H,
Everton,Man City,H,
Man United,Reading,H,
Southampton,Liverpool,H,
Stoke,West Brom,D,
Swansea,Arsenal,A,
Chelsea,West Ham,H,
Sunderland,Norwich,D,
Tottenham,Fulham,A,
Wigan,Newcastle,H,
Arsenal,Reading,H,
Everton,Stoke,H,
Man City,Newcastle,H,
Southampton,Chelsea,H,
Sunderland,Man United,A,
Swansea,Tottenham,A,
West Ham,West Brom,H,
Wigan,Norwich,H,
Aston Villa,Liverpool,A,
Fulham,QPR,H,
Norwich,Swansea,D,
Reading,Southampton,A,
Stoke,Aston Villa,A,
West Brom,Arsenal,A,
Chelsea,Sunderland,H,
Liverpool,West Ham,D,
Newcastle,Fulham,H,
QPR,Wigan,D,
Tottenham,Everton,D,
Man United,Man City,A,
Arsenal,Norwich,H,
Aston Villa,Fulham,D,
Everton,QPR,H,
Reading,Liverpool,D,
Southampton,West Ham,D,
Newcastle,Sunderland,A,
Stoke,Man United,A,
Arsenal,Everton,D,
Fulham,Chelsea,A,
Man City,Wigan,H,
West Ham,Man United,D,
Fulham,Arsenal,A,
Norwich,Reading,H,
QPR,Stoke,A,
Sunderland,Everton,H,
Swansea,Southampton,D,
West Brom,Newcastle,D,
West Ham,Wigan,H,
Liverpool,Chelsea,D,
Tottenham,Man City,H,
Man United,Aston Villa,H,
Everton,Fulham,H,
Man City,West Ham,H,
Newcastle,Liverpool,A,
Southampton,West Brom,A,
Stoke,Norwich,H,
Wigan,Tottenham,D,
Arsenal,Man United,D,
Chelsea,Swansea,H,
Reading,QPR,D,
Aston Villa,Sunderland,H,
Fulham,Reading,A,
Norwich,Aston Villa,A,
QPR,Arsenal,A,
Swansea,Man City,D,
Tottenham,Southampton,H,
West Brom,Wigan,A,
West Ham,Newcastle,D,
Liverpool,Everton,D,
Man United,Chelsea,A,
Sunderland,Stoke,D,
Man City,West Brom,H,
Wigan,Swansea,A,
Chelsea,Tottenham,D,
Aston Villa,Chelsea,A,
Everton,West Ham,H,
Fulham,Liverpool,A,
Man United,Swansea,H,
Norwich,West Brom,H,
QPR,Newcastle,A,
Stoke,Tottenham,A,
Sunderland,Southampton,D,
Arsenal,Wigan,H,
Reading,Man City,A,
Chelsea,Everton,H,
Liverpool,QPR,H,
Man City,Norwich,A,
Newcastle,Arsenal,A,
Southampton,Stoke,D,
Swansea,Fulham,A,
Tottenham,Sunderland,H,
West Brom,Man United,D,
West Ham,Reading,H,
Wigan,Aston Villa,D,
Arsenal,Aston Villa,A,
Liverpool,Stoke,H,
Norwich,Everton,D,
Sunderland,Fulham,A,
Swansea,Man United,A,
West Brom,Southampton,A,
West Ham,Cardiff,H,
Chelsea,Hull,H,
Crystal Palace,Tottenham,A,
Man City,Newcastle,H,
Chelsea,Aston Villa,H,
Aston Villa,Liverpool,A,
Everton,West Brom,D,
Fulham,Arsenal,A,
Hull,Norwich,H,
Newcastle,West Ham,D,
Southampton,Sunderland,D,
Stoke,Crystal Palace,H,
Cardiff,Man City,H,
Tottenham,Swansea,H,
Man United,Chelsea,D,
Cardiff,Everton,D,
Crystal Palace,Sunderland,H,
Man City,Hull,H,
Newcastle,Fulham,H,
Norwich,Southampton,H,
West Ham,Stoke,A,
Arsenal,Tottenham,H,
Liverpool,Man United,H,
West Brom,Swansea,A,
Aston Villa,Newcastle,A,
Everton,Chelsea,H,
Fulham,West Brom,D,
Hull,Cardiff,D,
Man United,Crystal Palace,H,
Stoke,Man City,D,
Sunderland,Arsenal,A,
Tottenham,Norwich,H,
Southampton,West Ham,D,
Swansea,Liverpool,D,
Chelsea,Fulham,H,
Liverpool,Southampton,A,
Newcastle,Hull,A,
Norwich,Aston Villa,A,
West Brom,Sunderland,H,
West Ham,Everton,A,
Arsenal,Stoke,H,
Cardiff,Tottenham,A,
Crystal Palace,Swansea,A,
Man City,Man United,H,
Aston Villa,Man City,H,
Fulham,Cardiff,A,
Hull,West Ham,H,
Man United,West Brom,A,
Southampton,Crystal Palace,H,
Swansea,Arsenal,A,
Tottenham,Chelsea,D,
Stoke,Norwich,A,
Sunderland,Liverpool,A,
Everton,Newcastle,H,
Cardiff,Newcastle,A,
Fulham,Stoke,H,
Hull,Aston Villa,D,
Liverpool,Crystal Palace,H,
Man City,Everton,H,
Sunderland,Man United,A,
Norwich,Chelsea,A,
Southampton,Swansea,H,
Tottenham,West Ham,A,
West Brom,Arsenal,D,
Arsenal,Norwich,H,
Chelsea,Cardiff,H,
Everton,Hull,H,
Man United,Southampton,D,
Newcastle,Liverpool,D,
Stoke,West Brom,D,
Swansea,Sunderland,H,
West Ham,Man City,A,
Aston Villa,Tottenham,A,
Crystal Palace,Fulham,A,
Aston Villa,Everton,A,
Crystal Palace,Arsenal,A,
Liverpool,West Brom,H,
Man United,Stoke,H,
Norwich,Cardiff,D,
Southampton,Fulham,H,
Chelsea,Man City,H,
Sunderland,Newcastle,H,
Swansea,West Ham,D,
Tottenham,Hull,H,
Arsenal,Liverpool,H,
Fulham,Man United,A,
Hull,Sunderland,H,
Man City,Norwich,H,
Newcastle,Chelsea,H,
Stoke,Southampton,D,
West Brom,Crystal Palace,H,
West Ham,Aston Villa,D,
Cardiff,Swansea,H,
Everton,Tottenham,D,
Aston Villa,Cardiff,H,
Chelsea,West Brom,D,
Crystal Palace,Everton,D,
Liverpool,Fulham,H,
Norwich,West Ham,H,
Southampton,Hull,H,
Man United,Arsenal,H,
Sunderland,Man City,H,
Swansea,Stoke,D,
Tottenham,Newcastle,A,
Arsenal,Southampton,H,
Everton,Liverpool,D,
Fulham,Swansea,A,
Hull,Crystal Palace,A,
Newcastle,Norwich,H,
Stoke,Sunderland,H,
West Ham,Chelsea,A,
Cardiff,Man United,D,
Man City,Tottenham,H,
West Brom,Aston Villa,D,
Aston Villa,Sunderland,D,
Cardiff,Arsenal,A,
Everton,Stoke,H,
Newcastle,West Brom,H,
Norwich,Crystal Palace,H,
West Ham,Fulham,H,
Chelsea,Southampton,H,
Hull,Liverpool,H,
Man City,Swansea,H,
Tottenham,Man United,D,
Crystal Palace,West Ham,H,
Arsenal,Hull,H,
Fulham,Tottenham,A,
Liverpool,Norwich,H,
Man United,Everton,A,
Southampton,Aston Villa,A,
Stoke,Cardiff,D,
Sunderland,Chelsea,A,
Swansea,Newcastle,H,
West Brom,Man City,A,
Crystal Palace,Cardiff,H,
Liverpool,West Ham,H,
Man United,Newcastle,A,
Southampton,Man City,D,
Stoke,Chelsea,H,
Sunderland,Tottenham,A,
West Brom,Norwich,A,
Arsenal,Everton,D,
Fulham,Aston Villa,H,
Swansea,Hull,D,
Cardiff,West Brom,H,
Chelsea,Crystal Palace,H,
Everton,Fulham,H,
Hull,Stoke,D,
Man City,Arsenal,H,
Newcastle,Southampton,D,
West Ham,Sunderland,D,
Aston Villa,Man United,A,
Norwich,Swansea,D,
Tottenham,Liverpool,A,
Crystal Palace,Newcastle,A,
Fulham,Man City,A,
Liverpool,Cardiff,H,
Man United,West Ham,H,
Stoke,Aston Villa,H,
Sunderland,Norwich,D,
West Brom,Hull,D,
Southampton,Tottenham,A,
Swansea,Everton,A,
Arsenal,Chelsea,D,
Aston Villa,Crystal Palace,A,
Cardiff,Southampton,A,
Chelsea,Swansea,H,
Everton,Sunderland,A,
Hull,Man United,A,
Man City,Liverpool,H,
Newcastle,Stoke,H,
Norwich,Fulham,A,
Tottenham,West Brom,D,
West Ham,Arsenal,A,
Aston Villa,Swansea,D,
Cardiff,Sunderland,D,
Hull,Fulham,H,
Man City,Crystal Palace,H,
Norwich,Man United,A,
West Ham,West Brom,D,
Chelsea,Liverpool,H,
Everton,Southampton,H,
Newcastle,Arsenal,A,
Tottenham,Stoke,H,
Arsenal,Cardiff,H,
Crystal Palace,Norwich,D,
Fulham,West Ham,H,
Liverpool,Hull,H,
Man United,Tottenham,A,
Southampton,Chelsea,A,
Stoke,Everton,D,
Sunderland,Aston Villa,A,
Swansea,Man City,A,
West Brom,Newcastle,H,
Cardiff,West Ham,A,
Everton,Norwich,H,
Fulham,Sunderland,A,
Hull,Chelsea,A,
Man United,Swansea,H,
Southampton,West Brom,H,
Tottenham,Crystal Palace,H,
Newcastle,Man City,A,
Stoke,Liverpool,A,
Aston Villa,Arsenal,A,
Arsenal,Fulham,H,
Crystal Palace,Stoke,H,
Liverpool,Aston Villa,D,
Man City,Cardiff,H,
Norwich,Hull,H,
Sunderland,Southampton,D,
West Ham,Newcastle,A,
Chelsea,Man United,H,
Swansea,Tottenham,A,
West Brom,Everton,D,
Crystal Palace,Hull,H,
Liverpool,Everton,H,
Man United,Cardiff,H,
Norwich,Newcastle,D,
Southampton,Arsenal,D,
Swansea,Fulham,H,
Aston Villa,West Brom,H,
Chelsea,West Ham,D,
Sunderland,Stoke,H,
Tottenham,Man City,A,
Cardiff,Norwich,H,
Everton,Aston Villa,H,
Fulham,Southampton,A,
Hull,Tottenham,D,
Newcastle,Sunderland,A,
Stoke,Man United,H,
West Ham,Swansea,H,
Arsenal,Crystal Palace,H,
West Brom,Liverpool,D,
Man City,Chelsea,A,
Aston Villa,West Ham,A,
Chelsea,Newcastle,H,
Crystal Palace,West Brom,H,
Liverpool,Arsenal,H,
Norwich,Man City,D,
Southampton,Stoke,D,
Sunderland,Hull,A,
Swansea,Cardiff,H,
Man United,Fulham,D,
Tottenham,Everton,H,
Cardiff,Aston Villa,D,
Hull,Southampton,A,
West Brom,Chelsea,D,
West Ham,Norwich,H,
Arsenal,Man United,D,
Fulham,Liverpool,A,
Newcastle,Tottenham,A,
Stoke,Swansea,D,
Arsenal,Sunderland,H,
Cardiff,Hull,A,
Chelsea,Everton,H,
Crystal Palace,Man United,A,
Man City,Stoke,H,
West Brom,Fulham,D,
West Ham,Southampton,H,
Liverpool,Swansea,H,
Newcastle,Aston Villa,H,
Norwich,Tottenham,H,
Everton,West Ham,H,
Fulham,Chelsea,A,
Hull,Newcastle,A,
Southampton,Liverpool,A,
Stoke,Arsenal,H,
Aston Villa,Norwich,H,
Swansea,Crystal Palace,D,
Tottenham,Cardiff,H,
Cardiff,Fulham,H,
Chelsea,Tottenham,H,
Crystal Palace,Southampton,A,
Norwich,Stoke,D,
West Brom,Man United,A,
Aston Villa,Chelsea,H,
Everton,Cardiff,H,
Fulham,Newcastle,H,
Hull,Man City,A,
Southampton,Norwich,H,
Stoke,West Ham,H,
Sunderland,Crystal Palace,D,
Swansea,West Brom,A,
Man United,Liverpool,A,
Tottenham,Arsenal,A,
Cardiff,Liverpool,A,
Chelsea,Arsenal,H,
Everton,Swansea,H,
Hull,West Brom,H,
Man City,Fulham,H,
Newcastle,Crystal Palace,H,
Norwich,Sunderland,H,
West Ham,Man United,A,
Aston Villa,Stoke,A,
Tottenham,Southampton,H,
Arsenal,Swansea,D,
Man United,Man City,A,
Newcastle,Everton,A,
Liverpool,Sunderland,H,
West Ham,Hull,H,
Arsenal,Man City,D,
Crystal Palace,Chelsea,H,
Man United,Aston Villa,H,
Southampton,Newcastle,H,
Stoke,Hull,H,
Swansea,Norwich,H,
West Brom,Cardiff,D,
Fulham,Everton,A,
Liverpool,Tottenham,H,
Sunderland,West Ham,A,
Aston Villa,Fulham,A,
Cardiff,Crystal Palace,A,
Chelsea,Stoke,H,
Hull,Swansea,H,
Man City,Southampton,H,
Newcastle,Man United,A,
Norwich,West Brom,A,
Everton,Arsenal,H,
West Ham,Liverpool,A,
Tottenham,Sunderland,H,
Crystal Palace,Aston Villa,H,
Fulham,Norwich,H,
Southampton,Cardiff,A,
Stoke,Newcastle,H,
Sunderland,Everton,A,
West Brom,Tottenham,D,
Liverpool,Man City,H,
Swansea,Chelsea,A,
Arsenal,West Ham,H,
Everton,Crystal Palace,A,
Man City,Sunderland,D,
Aston Villa,Southampton,D,
Cardiff,Stoke,D,
Chelsea,Sunderland,A,
Newcastle,Swansea,A,
Tottenham,Fulham,H,
West Ham,Crystal Palace,A,
Everton,Man United,H,
Hull,Arsenal,A,
Norwich,Liverpool,A,
Man City,West Brom,H,
Fulham,Hull,D,
Man United,Norwich,H,
Southampton,Everton,H,
Stoke,Tottenham,A,
Swansea,Aston Villa,H,
West Brom,West Ham,H,
Crystal Palace,Man City,A,
Liverpool,Chelsea,A,
Sunderland,Cardiff,H,
Arsenal,Newcastle,H,
Aston Villa,Hull,H,
Everton,Man City,A,
Man United,Sunderland,A,
Newcastle,Cardiff,H,
Stoke,Fulham,H,
Swansea,Southampton,A,
West Ham,Tottenham,H,
Arsenal,West Brom,H,
Chelsea,Norwich,D,
Crystal Palace,Liverpool,D,
Man United,Hull,H,
Man City,Aston Villa,H,
Sunderland,West Brom,H,
Cardiff,Chelsea,A,
Fulham,Crystal Palace,D,
Hull,Everton,A,
Liverpool,Newcastle,H,
Man City,West Ham,H,
Norwich,Arsenal,A,
Southampton,Man United,D,
Sunderland,Swansea,A,
Tottenham,Aston Villa,H,
West Brom,Stoke,A,
Arsenal,Crystal Palace,H,
Leicester,Everton,D,
Man United,Swansea,A,
QPR,Hull,A,
Stoke,Aston Villa,A,
West Brom,Sunderland,D,
West Ham,Tottenham,A,
Liverpool,Southampton,H,
Newcastle,Man City,A,
Burnley,Chelsea,A,
Aston Villa,Newcastle,D,
Chelsea,Leicester,H,
Crystal Palace,West Ham,A,
Everton,Arsenal,D,
Southampton,West Brom,D,
Swansea,Burnley,H,
Hull,Stoke,D,
Sunderland,Man United,D,
Tottenham,QPR,H,
Man City,Liverpool,H,
Burnley,Man United,D,
Everton,Chelsea,A,
Man City,Stoke,A,
Newcastle,Crystal Palace,D,
QPR,Sunderland,H,
Swansea,West Brom,H,
West Ham,Southampton,A,
Aston Villa,Hull,H,
Leicester,Arsenal,D,
Tottenham,Liverpool,A,
Arsenal,Man City,D,
Chelsea,Swansea,H,
Crystal Palace,Burnley,D,
Liverpool,Aston Villa,A,
Southampton,Newcastle,H,
Stoke,Leicester,A,
Sunderland,Tottenham,D,
West Brom,Everton,A,
Man United,QPR,H,
Hull,West Ham,D,
Aston Villa,Arsenal,A,
Burnley,Sunderland,D,
Newcastle,Hull,D,
QPR,Stoke,D,
Swansea,Southampton,A,
West Ham,Liverpool,H,
Everton,Crystal Palace,A,
Leicester,Man United,H,
Man City,Chelsea,D,
Tottenham,West Brom,A,
Arsenal,Tottenham,D,
Chelsea,Aston Villa,H,
Crystal Palace,Leicester,H,
Hull,Man City,A,
Liverpool,Everton,D,
Man United,West Ham,H,
Southampton,QPR,H,
Sunderland,Swansea,D,
West Brom,Burnley,H,
Stoke,Newcastle,H,
Aston Villa,Man City,A,
Hull,Crystal Palace,H,
Leicester,Burnley,D,
Liverpool,West Brom,H,
Sunderland,Stoke,H,
Swansea,Newcastle,D,
Chelsea,Arsenal,H,
Man United,Everton,H,
Tottenham,Southampton,H,
West Ham,QPR,H,
Arsenal,Hull,D,
Burnley,West Ham,A,
Crystal Palace,Chelsea,A,
Everton,Aston Villa,H,
Man City,Tottenham,H,
Newcastle,Leicester,H,
Southampton,Sunderland,H,
QPR,Liverpool,A,
Stoke,Swansea,H,
West Brom,Man United,D,
Liverpool,Hull,D,
Southampton,Stoke,H,
Sunderland,Arsenal,A,
Swansea,Leicester,H,
West Brom,Crystal Palace,D,
West Ham,Man City,H,
Burnley,Everton,A,
Man United,Chelsea,D,
Tottenham,Newcastle,A,
QPR,Aston Villa,H,
Arsenal,Burnley,H,
Chelsea,QPR,H,
Everton,Swansea,D,
Hull,Southampton,A,
Leicester,West Brom,A,
Newcastle,Liverpool,H,
Stoke,West Ham,D,
Aston Villa,Tottenham,A,
Man City,Man United,H,
Crystal Palace,Sunderland,A,
Burnley,Hull,H,
Liverpool,Chelsea,A,
Man United,Crystal Palace,H,
QPR,Man City,D,
Southampton,Leicester,H,
West Ham,Aston Villa,D,
Sunderland,Everton,D,
Swansea,Arsenal,H,
Tottenham,Stoke,A,
West Brom,Newcastle,A,
Arsenal,Man United,A,
Chelsea,West Brom,H,
Everton,West Ham,H,
Leicester,Sunderland,D,
Man City,Swansea,H,
Newcastle,QPR,H,
Stoke,Burnley,A,
Crystal Palace,Liverpool,H,
Hull,Tottenham,A,
Aston Villa,Southampton,D,
Burnley,Aston Villa,D,
Liverpool,Stoke,H,
Man United,Hull,H,
QPR,Leicester,H,
Sunderland,Chelsea,D,
Swansea,Crystal Palace,D,
West Brom,Arsenal,A,
West Ham,Newcastle,H,
Southampton,Man City,A,
Tottenham,Everton,H,
Burnley,Newcastle,D,
Crystal Palace,Aston Villa,A,
Leicester,Liverpool,A,
Man United,Stoke,H,
Swansea,QPR,H,
West Brom,West Ham,A,
Arsenal,Southampton,H,
Chelsea,Tottenham,H,
Everton,Hull,D,
Sunderland,Man City,A,
Hull,West Brom,D,
Liverpool,Sunderland,D,
Man City,Everton,H,
Newcastle,Chelsea,H,
QPR,Burnley,H,
Stoke,Arsenal,H,
Tottenham,Crystal Palace,D,
Aston Villa,Leicester,H,
West Ham,Swansea,H,
Southampton,Man United,A,
Arsenal,Newcastle,H,
Burnley,Southampton,H,
Chelsea,Hull,H,
Crystal Palace,Stoke,D,
Leicester,Man City,A,
Sunderland,West Ham,D,
West Brom,Aston Villa,H,
Man United,Liverpool,H,
Swansea,Tottenham,A,
Everton,QPR,H,
Aston Villa,Man United,D,
Hull,Swansea,A,
Man City,Crystal Palace,H,
QPR,West Brom,H,
Southampton,Everton,H,
Tottenham,Burnley,H,
West Ham,Leicester,H,
Liverpool,Arsenal,D,
Newcastle,Sunderland,A,
Stoke,Chelsea,A,
Arsenal,QPR,H,
Burnley,Liverpool,A,
Chelsea,West Ham,H,
Crystal Palace,Southampton,A,
Everton,Stoke,A,
Leicester,Tottenham,A,
Man United,Newcastle,H,
Sunderland,Hull,A,
Swansea,Aston Villa,H,
West Brom,Man City,A,
Aston Villa,Sunderland,D,
Hull,Leicester,A,
Man City,Burnley,D,
Newcastle,Everton,H,
QPR,Crystal Palace,D,
Southampton,Chelsea,D,
Stoke,West Brom,H,
Tottenham,Man United,D,
West Ham,Arsenal,A,
Liverpool,Swansea,H,
Aston Villa,Crystal Palace,D,
Hull,Everton,H,
Liverpool,Leicester,D,
Man City,Sunderland,H,
Newcastle,Burnley,D,
QPR,Swansea,D,
Southampton,Arsenal,H,
Stoke,Man United,D,
Tottenham,Chelsea,H,
West Ham,West Brom,D,
Burnley,QPR,H,
Chelsea,Newcastle,H,
Crystal Palace,Tottenham,H,
Everton,Man City,D,
Leicester,Aston Villa,H,
Sunderland,Liverpool,A,
Swansea,West Ham,D,
West Brom,Hull,H,
Arsenal,Stoke,H,
Man United,Southampton,A,
Aston Villa,Liverpool,A,
Burnley,Crystal Palace,A,
Leicester,Stoke,A,
Newcastle,Southampton,A,
QPR,Man United,A,
Swansea,Chelsea,A,
Tottenham,Sunderland,H,
Man City,Arsenal,A,
West Ham,Hull,H,
Everton,West Brom,D,
Chelsea,Man City,D,
Crystal Palace,Everton,A,
Hull,Newcastle,A,
Liverpool,West Ham,H,
Man United,Leicester,H,
Stoke,QPR,H,
Sunderland,Burnley,H,
West Brom,Tottenham,A,
Arsenal,Aston Villa,H,
Southampton,Swansea,A,
Aston Villa,Chelsea,A,
Everton,Liverpool,D,
Leicester,Crystal Palace,A,
Man City,Hull,D,
QPR,Southampton,A,
Swansea,Sunderland,D,
Tottenham,Arsenal,H,
Burnley,West Brom,D,
Newcastle,Stoke,D,
West Ham,Man United,D,
Arsenal,Leicester,H,
Hull,Aston Villa,H,
Liverpool,Tottenham,H,
Sunderland,QPR,A,
Chelsea,Everton,H,
Crystal Palace,Newcastle,D,
Man United,Burnley,H,
Southampton,West Ham,D,
Stoke,Man City,A,
West Brom,Swansea,H,
Aston Villa,Stoke,A,
Chelsea,Burnley,D,
Crystal Palace,Arsenal,A,
Hull,QPR,H,
Man City,Newcastle,H,
Sunderland,West Brom,D,
Swansea,Man United,H,
Everton,Leicester,D,
Southampton,Liverpool,A,
Tottenham,West Ham,D,
Burnley,Swansea,A,
Man United,Sunderland,H,
Newcastle,Aston Villa,H,
Stoke,Hull,H,
West Brom,Southampton,H,
West Ham,Crystal Palace,A,
Arsenal,Everton,H,
Liverpool,Man City,H,
Aston Villa,West Brom,H,
Hull,Sunderland,D,
Southampton,Crystal Palace,H,
Liverpool,Burnley,H,
Man City,Leicester,H,
Newcastle,Man United,A,
QPR,Arsenal,A,
Stoke,Everton,H,
Tottenham,Swansea,H,
West Ham,Chelsea,A,
QPR,Tottenham,A,
Arsenal,West Ham,H,
Burnley,Man City,H,
Crystal Palace,QPR,H,
Leicester,Hull,D,
Sunderland,Aston Villa,A,
West Brom,Stoke,H,
Chelsea,Southampton,D,
Everton,Newcastle,H,
Man United,Tottenham,H,
Swansea,Liverpool,A,
Aston Villa,Swansea,A,
Man City,West Brom,H,
Newcastle,Arsenal,A,
Southampton,Burnley,H,
Stoke,Crystal Palace,A,
Tottenham,Leicester,H,
West Ham,Sunderland,H,
Hull,Chelsea,A,
Liverpool,Man United,A,
QPR,Everton,A,
Arsenal,Liverpool,H,
Chelsea,Stoke,H,
Everton,Southampton,H,
Leicester,West Ham,H,
Man United,Aston Villa,H,
Swansea,Hull,H,
West Brom,QPR,A,
Burnley,Tottenham,D,
Sunderland,Newcastle,H,
Crystal Palace,Man City,H,
Aston Villa,QPR,D,
Burnley,Arsenal,A,
Southampton,Hull,H,
Sunderland,Crystal Palace,A,
Swansea,Everton,D,
Tottenham,Aston Villa,A,
West Brom,Leicester,A,
West Ham,Stoke,D,
Man United,Man City,H,
QPR,Chelsea,A,
Liverpool,Newcastle,H,
Chelsea,Man United,H,
Crystal Palace,West Brom,A,
Everton,Burnley,H,
Leicester,Swansea,H,
Stoke,Southampton,H,
Man City,West Ham,H,
Newcastle,Tottenham,A,
Burnley,Leicester,A,
Crystal Palace,Hull,A,
Man City,Aston Villa,H,
Newcastle,Swansea,A,
QPR,West Ham,D,
Southampton,Tottenham,D,
Stoke,Sunderland,D,
West Brom,Liverpool,D,
Arsenal,Chelsea,D,
Everton,Man United,H,
Hull,Liverpool,H,
Leicester,Chelsea,A,
Aston Villa,Everton,H,
Leicester,Newcastle,H,
Liverpool,QPR,H,
Man United,West Brom,A,
Sunderland,Southampton,H,
Swansea,Stoke,H,
West Ham,Burnley,H,
Chelsea,Crystal Palace,H,
Tottenham,Man City,A,
Hull,Arsenal,A,
Aston Villa,West Ham,H,
Crystal Palace,Man United,A,
Everton,Sunderland,A,
Hull,Burnley,A,
Leicester,Southampton,H,
Newcastle,West Brom,D,
Stoke,Tottenham,H,
Chelsea,Liverpool,D,
Man City,QPR,H,
Arsenal,Swansea,A,
Burnley,Stoke,D,
